index,video_title,video_link,video_length,video_likes,video_dislikes,video_id,video_tags,vector_tags
18494,Sophia Burns - Generous Cum Load In My Chubby Fat Pussy,https://www.pornktube.tv/videos/18494/sophia-burns-generous-cum-load-in-my-chubby-fat-pussy/,26,630,270,18494,"['cum', 'cumshot', 'teen']","[0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
18486,Young Blonde Kali Roses And Her Step Brother Have Sex On The Sneak,https://www.pornktube.tv/videos/18486/young-blonde-kali-roses-and-her-step-brother-have-sex-on-the-sneak/,37,950,467,18486,"['blonde', 'cheating', 'teen']","[0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
18382,Petite Blonde Can Fuck Herself But Her Step Brother Does It Better,https://www.pornktube.tv/videos/18382/petite-blonde-can-fuck-herself-but-her-step-brother-does-it-better/,24,381,175,18382,"['blonde', 'teen']","[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
18378,Mature Housewife Is Alone At Home But Her Caring Stepson Helps His Stepmom,https://www.pornktube.tv/videos/18378/mature-housewife-is-alone-at-home-but-her-caring-stepson-helps-his-stepmom/,43,615,278,18378,"['anal', 'big_tits', 'mature']","[0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18495,Kind MILF Takes Care Of Her Stepson Who His Girlfriend Broke Up With,https://www.pornktube.tv/videos/18495/kind-milf-takes-care-of-her-stepson-who-his-girlfriend-broke-up-with/,28,1182,561,18495,"['blonde', 'mature']","[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18403,My Wife Beth Bennett Watches Me Fuck Her Ex Girlfriend Atlantis Deep,https://www.pornktube.tv/videos/18403/my-wife-beth-bennett-watches-me-fuck-her-ex-girlfriend-atlantis-deep/,41,1506,673,18403,"['big_tits', 'cheating', 'voyeur']","[0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 0]"
18493,Blonde Teen Takes Her Panties Off To Get Encouragement From Her StepDaddy,https://www.pornktube.tv/videos/18493/blonde-teen-takes-her-panties-off-to-get-encouragement-from-her-stepdaddy/,25,626,291,18493,"['blonde', 'cum', 'teen']","[0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
18490,College Girl And Her Friends Jokes About Her Naive Stepdad Ryan Driller,https://www.pornktube.tv/videos/18490/college-girl-and-her-friends-jokes-about-her-naive-stepdad-ryan-driller/,50,594,294,18490,"['cheating', 'college', 'teen']","[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
18489,Anya Olsen - Why Should I Masturbate My Pussy When My Step Brother Can Fuck Me,https://www.pornktube.tv/videos/18489/anya-olsen-why-should-i-masturbate-my-pussy-when-my-step-brother-can-fuck-me/,54,680,309,18489,"['blonde', 'teen']","[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
18473,Sensual Girl Alexa Flexy Gets Anal And Facialed In The Summer Garden,https://www.pornktube.tv/videos/18473/sensual-girl-alexa-flexy-gets-anal-and-facialed-in-the-summer-garden/,23,407,193,18473,"['anal', 'blonde', 'teen']","[0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
